model,task,category,count,seed,baseline_rate,cgvd_rate,delta
gr00t,spoon,semantic,18,8,40.0,40.0,+0.0
gr00t,spoon,semantic,18,9,45.0,40.0,-5.0
pi0,carrot,control,0,0,60.0,60.0,+0.0
pi0,carrot,control,0,1,55.0,40.0,-15.0
pi0,carrot,control,0,2,70.0,65.0,-5.0
pi0,carrot,control,0,3,45.0,60.0,+15.0
pi0,carrot,control,0,4,60.0,55.0,-5.0
pi0,carrot,control,0,5,55.0,50.0,-5.0
pi0,carrot,control,0,6,60.0,45.0,-15.0
pi0,carrot,control,0,7,60.0,65.0,+5.0
pi0,carrot,control,0,8,55.0,60.0,+5.0
pi0,carrot,control,0,9,65.0,45.0,-20.0
pi0,carrot,control,4,0,55.0,65.0,+10.0
pi0,carrot,control,4,1,55.0,50.0,-5.0
pi0,carrot,control,4,2,55.0,45.0,-10.0
pi0,carrot,control,4,3,50.0,60.0,+10.0
pi0,carrot,control,4,4,50.0,50.0,+0.0
pi0,carrot,control,4,5,45.0,45.0,+0.0
pi0,carrot,control,4,6,75.0,55.0,-20.0
pi0,carrot,control,4,7,55.0,65.0,+10.0
pi0,carrot,control,4,8,55.0,45.0,-10.0
pi0,carrot,control,4,9,65.0,50.0,-15.0
pi0,carrot,control,8,0,60.0,50.0,-10.0
pi0,carrot,control,8,1,55.0,65.0,+10.0
pi0,carrot,control,8,2,65.0,65.0,+0.0
pi0,carrot,control,8,3,50.0,50.0,+0.0
pi0,carrot,control,8,4,55.0,55.0,+0.0
pi0,carrot,control,8,5,65.0,40.0,-25.0
pi0,carrot,control,8,6,55.0,45.0,-10.0
pi0,carrot,control,8,7,50.0,55.0,+5.0
pi0,carrot,control,8,8,40.0,55.0,+15.0
pi0,carrot,control,8,9,55.0,45.0,-10.0
pi0,carrot,control,10,0,50.0,65.0,+15.0
pi0,carrot,control,10,1,50.0,65.0,+15.0
pi0,carrot,control,10,2,70.0,65.0,-5.0
pi0,carrot,control,10,3,60.0,55.0,-5.0
pi0,carrot,control,10,4,45.0,55.0,+10.0
pi0,carrot,control,10,5,60.0,35.0,-25.0
pi0,carrot,control,10,6,75.0,55.0,-20.0
pi0,carrot,control,10,7,50.0,55.0,+5.0
pi0,carrot,control,10,8,55.0,55.0,+0.0
pi0,carrot,control,10,9,45.0,45.0,+0.0
pi0,carrot,control,14,0,35.0,55.0,+20.0
pi0,carrot,control,14,1,30.0,60.0,+30.0
pi0,carrot,control,14,2,55.0,45.0,-10.0
pi0,carrot,control,14,3,55.0,50.0,-5.0
pi0,carrot,control,14,4,65.0,50.0,-15.0
pi0,carrot,control,14,5,45.0,55.0,+10.0
pi0,carrot,control,14,6,55.0,60.0,+5.0
pi0,carrot,control,14,7,65.0,45.0,-20.0
pi0,carrot,control,14,8,70.0,50.0,-20.0
pi0,carrot,control,14,9,60.0,50.0,-10.0
pi0,carrot,control,18,0,50.0,55.0,+5.0
pi0,carrot,control,18,1,55.0,70.0,+15.0
pi0,carrot,control,18,2,55.0,40.0,-15.0
pi0,carrot,control,18,3,60.0,65.0,+5.0
pi0,carrot,control,18,4,35.0,55.0,+20.0
pi0,carrot,control,18,5,60.0,60.0,+0.0
pi0,carrot,control,18,6,65.0,50.0,-15.0
pi0,carrot,control,18,7,40.0,45.0,+5.0
pi0,carrot,control,18,8,45.0,35.0,-10.0
pi0,carrot,control,18,9,30.0,65.0,+35.0
pi0,carrot,semantic,0,0,60.0,60.0,+0.0
pi0,carrot,semantic,0,1,55.0,40.0,-15.0
pi0,carrot,semantic,0,2,70.0,65.0,-5.0
pi0,carrot,semantic,0,3,45.0,60.0,+15.0
pi0,carrot,semantic,0,4,60.0,55.0,-5.0
pi0,carrot,semantic,0,5,55.0,50.0,-5.0
pi0,carrot,semantic,0,6,60.0,45.0,-15.0
pi0,carrot,semantic,0,7,60.0,65.0,+5.0
pi0,carrot,semantic,0,8,55.0,60.0,+5.0
pi0,carrot,semantic,0,9,65.0,45.0,-20.0
pi0,carrot,semantic,4,0,65.0,60.0,-5.0
pi0,carrot,semantic,4,1,50.0,45.0,-5.0
pi0,carrot,semantic,4,2,55.0,45.0,-10.0
pi0,carrot,semantic,4,3,55.0,55.0,+0.0
pi0,carrot,semantic,4,4,55.0,60.0,+5.0
pi0,carrot,semantic,4,5,60.0,40.0,-20.0
pi0,carrot,semantic,4,6,55.0,55.0,+0.0
pi0,carrot,semantic,4,7,60.0,65.0,+5.0
pi0,carrot,semantic,4,8,55.0,35.0,-20.0
pi0,carrot,semantic,4,9,65.0,65.0,+0.0
pi0,carrot,semantic,8,0,75.0,55.0,-20.0
pi0,carrot,semantic,8,1,40.0,65.0,+25.0
pi0,carrot,semantic,8,2,50.0,50.0,+0.0
pi0,carrot,semantic,8,3,60.0,50.0,-10.0
pi0,carrot,semantic,8,4,65.0,65.0,+0.0
pi0,carrot,semantic,8,5,80.0,40.0,-40.0
pi0,carrot,semantic,8,6,55.0,50.0,-5.0
pi0,carrot,semantic,8,7,65.0,60.0,-5.0
pi0,carrot,semantic,8,8,65.0,50.0,-15.0
pi0,carrot,semantic,8,9,65.0,45.0,-20.0
pi0,carrot,semantic,10,0,60.0,60.0,+0.0
pi0,carrot,semantic,10,1,60.0,60.0,+0.0
pi0,carrot,semantic,10,2,75.0,60.0,-15.0
pi0,carrot,semantic,10,3,60.0,60.0,+0.0
pi0,carrot,semantic,10,4,65.0,50.0,-15.0
pi0,carrot,semantic,10,5,65.0,40.0,-25.0
pi0,carrot,semantic,10,6,60.0,40.0,-20.0
pi0,carrot,semantic,10,7,60.0,55.0,-5.0
pi0,carrot,semantic,10,8,55.0,55.0,+0.0
pi0,carrot,semantic,10,9,55.0,55.0,+0.0
pi0,carrot,semantic,14,0,50.0,55.0,+5.0
pi0,carrot,semantic,14,1,55.0,65.0,+10.0
pi0,carrot,semantic,14,2,60.0,50.0,-10.0
pi0,carrot,semantic,14,3,60.0,55.0,-5.0
pi0,carrot,semantic,14,4,60.0,40.0,-20.0
pi0,carrot,semantic,14,5,65.0,35.0,-30.0
pi0,carrot,semantic,14,6,60.0,50.0,-10.0
pi0,carrot,semantic,14,7,65.0,40.0,-25.0
pi0,carrot,semantic,14,8,55.0,60.0,+5.0
pi0,carrot,semantic,14,9,55.0,65.0,+10.0
pi0,carrot,semantic,18,0,50.0,65.0,+15.0
pi0,carrot,semantic,18,1,60.0,60.0,+0.0
pi0,carrot,semantic,18,2,65.0,40.0,-25.0
pi0,carrot,semantic,18,3,55.0,45.0,-10.0
pi0,carrot,semantic,18,4,65.0,40.0,-25.0
pi0,carrot,semantic,18,5,55.0,35.0,-20.0
pi0,carrot,semantic,18,6,55.0,50.0,-5.0
pi0,carrot,semantic,18,7,50.0,45.0,-5.0
pi0,carrot,semantic,18,8,50.0,40.0,-10.0
pi0,carrot,semantic,18,9,55.0,50.0,-5.0
pi0,spoon,control,0,0,90.0,90.0,+0.0
pi0,spoon,control,0,1,75.0,85.0,+10.0
pi0,spoon,control,0,2,80.0,90.0,+10.0
pi0,spoon,control,0,3,75.0,75.0,+0.0
pi0,spoon,control,0,4,75.0,90.0,+15.0
pi0,spoon,control,0,5,75.0,100.0,+25.0
pi0,spoon,control,0,6,90.0,75.0,-15.0
pi0,spoon,control,0,7,85.0,80.0,-5.0
pi0,spoon,control,0,8,90.0,90.0,+0.0
pi0,spoon,control,0,9,85.0,75.0,-10.0
pi0,spoon,control,4,0,70.0,95.0,+25.0
pi0,spoon,control,4,1,75.0,80.0,+5.0
pi0,spoon,control,4,2,85.0,80.0,-5.0
pi0,spoon,control,4,3,75.0,70.0,-5.0
pi0,spoon,control,4,4,65.0,85.0,+20.0
pi0,spoon,control,4,5,80.0,80.0,+0.0
pi0,spoon,control,4,6,60.0,55.0,-5.0
pi0,spoon,control,4,7,60.0,75.0,+15.0
pi0,spoon,control,4,8,60.0,80.0,+20.0
pi0,spoon,control,4,9,75.0,80.0,+5.0
pi0,spoon,control,8,0,70.0,85.0,+15.0
pi0,spoon,control,8,1,60.0,85.0,+25.0
pi0,spoon,control,8,2,55.0,75.0,+20.0
pi0,spoon,control,8,3,65.0,70.0,+5.0
pi0,spoon,control,8,4,75.0,75.0,+0.0
pi0,spoon,control,8,5,65.0,55.0,-10.0
pi0,spoon,control,8,6,45.0,70.0,+25.0
pi0,spoon,control,8,7,55.0,65.0,+10.0
pi0,spoon,control,8,8,80.0,75.0,-5.0
pi0,spoon,control,8,9,55.0,85.0,+30.0
pi0,spoon,control,10,0,55.0,85.0,+30.0
pi0,spoon,control,10,1,55.0,85.0,+30.0
pi0,spoon,control,10,2,55.0,70.0,+15.0
pi0,spoon,control,10,3,50.0,75.0,+25.0
pi0,spoon,control,10,4,80.0,80.0,+0.0
pi0,spoon,control,10,5,55.0,90.0,+35.0
pi0,spoon,control,10,6,55.0,70.0,+15.0
pi0,spoon,control,10,7,60.0,80.0,+20.0
pi0,spoon,control,10,8,65.0,75.0,+10.0
pi0,spoon,control,10,9,70.0,75.0,+5.0
pi0,spoon,control,14,0,60.0,75.0,+15.0
pi0,spoon,control,14,1,55.0,80.0,+25.0
pi0,spoon,control,14,2,55.0,75.0,+20.0
pi0,spoon,control,14,3,60.0,85.0,+25.0
pi0,spoon,control,14,4,55.0,90.0,+35.0
pi0,spoon,control,14,5,80.0,80.0,+0.0
pi0,spoon,control,14,6,75.0,65.0,-10.0
pi0,spoon,control,14,7,75.0,65.0,-10.0
pi0,spoon,control,14,8,70.0,75.0,+5.0
pi0,spoon,control,14,9,60.0,85.0,+25.0
pi0,spoon,control,18,0,65.0,65.0,+0.0
pi0,spoon,control,18,1,65.0,85.0,+20.0
pi0,spoon,control,18,2,65.0,80.0,+15.0
pi0,spoon,control,18,3,50.0,70.0,+20.0
pi0,spoon,control,18,4,50.0,65.0,+15.0
pi0,spoon,control,18,5,55.0,60.0,+5.0
pi0,spoon,control,18,6,60.0,60.0,+0.0
pi0,spoon,control,18,7,55.0,75.0,+20.0
pi0,spoon,control,18,8,45.0,90.0,+45.0
pi0,spoon,control,18,9,65.0,55.0,-10.0
pi0,spoon,semantic,0,0,90.0,90.0,+0.0
pi0,spoon,semantic,0,1,75.0,85.0,+10.0
pi0,spoon,semantic,0,2,80.0,90.0,+10.0
pi0,spoon,semantic,0,3,75.0,75.0,+0.0
pi0,spoon,semantic,0,4,75.0,90.0,+15.0
pi0,spoon,semantic,0,5,75.0,100.0,+25.0
pi0,spoon,semantic,0,6,90.0,75.0,-15.0
pi0,spoon,semantic,0,7,85.0,80.0,-5.0
pi0,spoon,semantic,0,8,90.0,90.0,+0.0
pi0,spoon,semantic,0,9,85.0,75.0,-10.0
pi0,spoon,semantic,4,0,50.0,85.0,+35.0
pi0,spoon,semantic,4,1,75.0,75.0,+0.0
pi0,spoon,semantic,4,2,55.0,60.0,+5.0
pi0,spoon,semantic,4,3,55.0,80.0,+25.0
pi0,spoon,semantic,4,4,60.0,70.0,+10.0
pi0,spoon,semantic,4,5,65.0,80.0,+15.0
pi0,spoon,semantic,4,6,70.0,70.0,+0.0
pi0,spoon,semantic,4,7,65.0,70.0,+5.0
pi0,spoon,semantic,4,8,50.0,75.0,+25.0
pi0,spoon,semantic,4,9,45.0,65.0,+20.0
pi0,spoon,semantic,8,0,25.0,75.0,+50.0
pi0,spoon,semantic,8,1,55.0,80.0,+25.0
pi0,spoon,semantic,8,2,50.0,75.0,+25.0
pi0,spoon,semantic,8,3,60.0,80.0,+20.0
pi0,spoon,semantic,8,4,55.0,85.0,+30.0
pi0,spoon,semantic,8,5,70.0,70.0,+0.0
pi0,spoon,semantic,8,6,70.0,70.0,+0.0
pi0,spoon,semantic,8,7,55.0,70.0,+15.0
pi0,spoon,semantic,8,8,30.0,75.0,+45.0
pi0,spoon,semantic,8,9,40.0,55.0,+15.0
pi0,spoon,semantic,10,0,35.0,80.0,+45.0
pi0,spoon,semantic,10,1,55.0,80.0,+25.0
pi0,spoon,semantic,10,2,30.0,70.0,+40.0
pi0,spoon,semantic,10,3,65.0,60.0,-5.0
pi0,spoon,semantic,10,4,55.0,75.0,+20.0
pi0,spoon,semantic,10,5,50.0,80.0,+30.0
pi0,spoon,semantic,10,6,60.0,70.0,+10.0
pi0,spoon,semantic,10,7,45.0,65.0,+20.0
pi0,spoon,semantic,10,8,35.0,70.0,+35.0
pi0,spoon,semantic,10,9,60.0,75.0,+15.0
pi0,spoon,semantic,14,0,45.0,80.0,+35.0
pi0,spoon,semantic,14,1,55.0,80.0,+25.0
pi0,spoon,semantic,14,2,55.0,75.0,+20.0
pi0,spoon,semantic,14,3,55.0,75.0,+20.0
pi0,spoon,semantic,14,4,45.0,85.0,+40.0
pi0,spoon,semantic,14,5,60.0,85.0,+25.0
pi0,spoon,semantic,14,6,65.0,65.0,+0.0
pi0,spoon,semantic,14,7,45.0,70.0,+25.0
pi0,spoon,semantic,14,8,60.0,70.0,+10.0
pi0,spoon,semantic,14,9,40.0,70.0,+30.0
pi0,spoon,semantic,18,0,15.0,85.0,+70.0
pi0,spoon,semantic,18,1,40.0,90.0,+50.0
pi0,spoon,semantic,18,2,25.0,80.0,+55.0
pi0,spoon,semantic,18,3,50.0,75.0,+25.0
pi0,spoon,semantic,18,4,55.0,80.0,+25.0
pi0,spoon,semantic,18,5,45.0,75.0,+30.0
pi0,spoon,semantic,18,6,50.0,75.0,+25.0
pi0,spoon,semantic,18,7,70.0,75.0,+5.0
pi0,spoon,semantic,18,8,50.0,70.0,+20.0
pi0,spoon,semantic,18,9,30.0,70.0,+40.0
